OBJECTID,FacilityID,Installati,OWNER,OPERATINGC,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
159,T4-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77262056,-88.178357
160,T3-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77343022,-88.17828653
161,T3-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77338187,-88.17879622
162,T3-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77349406,-88.17726343
163,T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77352596,-88.17675188
164,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77355785,-88.17624032
165,T2-J4,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77272797,-88.17713958
166,T2-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77296718,-88.17717853
167,T2-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77323388,-88.17722194
168,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77209162,-88.17560001
169,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77203386,-88.17673387
170,T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77192665,-88.17762389
171,T2-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77183992,-88.17809566
172,T6-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77325186,-88.1811416
173,T6-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77322689,-88.18169614
174,T4-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77332748,-88.18010133
175,T4-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77350249,-88.17986325
176,T4-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77312214,-88.17978418
177,T3-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77274076,-88.17973524
178,T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77167822,-88.17914364
179,T3-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7724726,-88.17958686
180,T2-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77207645,-88.17927408
181,T2-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.772141,-88.17936623
182,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7778383,-88.17851852
183,T1-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77776516,-88.17893711
184,T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77770735,-88.17926273
185,T2-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77764257,-88.17991734
186,T3-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77762469,-88.18024699
187,T4-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77757289,-88.18107957
188,T1-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77541377,-88.17623354
189,T1-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77557388,-88.17618519
190,T2-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77668248,-88.17714779
191,T2-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7764985,-88.17698489
192,T1-J4,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77590772,-88.17648348
193,T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77627258,-88.1768095
194,T1-J5,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77609014,-88.17664648
195,T1-J5,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7768372,-88.17847984
196,T2-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77678303,-88.17934911
197,T3-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77671026,-88.18051853
198,T1-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77543091,-88.17595954
199,T6-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77418471,-88.18155434
200,T6-J2,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7742233,-88.18120206
201,T6-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77425295,-88.18072676
202,T5-J3,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.77427804,-88.18032514
203,T5-J1,935020800000,Utility,Distribution,Electric,Electric,Field Service,Asset Mgmt.,Underground Structure,41.7743168,-88.17970364
